1548,Bulgaria Air,,FB,LZB,FLYING BULGARIA,Bulgaria,Y,13,0,13
2604,Grant Aviation,,GS,GUN,HOOT,United States,N,14,0,14
1936,Cubana de Aviación,,CU,CUB,CUBANA,Cuba,Y,14,0,14
443,Airstars,,PL,ASE,MOROZOV,Russia,N,14,0,14
1066,Air Madagascar,,MD,MDG,AIR MADAGASCAR,Madagascar,Y,14,0,14
218,Air India Limited,,AI,AIC,AIRINDIA,India,Y,14,0,14
690,Air Foyle,,GS,UPA,FOYLE,United Kingdom,Y,14,0,14
179,Aeroper,,PL,PLI,Aeroperu,Peru,Y,14,0,14
1006,Air Astana,,KC,KZR,ASTANALINE,Kazakhstan,Y,15,0,15
386,Aero Flight,,GV,ARF,Aero Fox,Germany,Y,15,0,15
837,Aer Lingus,,EI,EIN,SHAMROCK,Ireland,Y,15,0,15
1539,Binter Canarias,,NT,IBB,,Spain,Y,16,0,16
328,Air Niugini,,PX,ANG,NUIGINI,Papua New Guinea,Y,16,0,16
2660,Hainan Airlines,,HU,CHH,HAINAN,China,Y,17,0,17
2143,Egyptair,,MS,MSR,EGYPTAIR,Egypt,Y,17,0,17
1463,Blue Panorama Airlines,,BV,BPA,BLUE PANOROMA,Italy,Y,17,0,17
2220,Ethiopian Airlines,,ET,ETH,ETHIOPIAN,Ethiopia,Y,19,0,19
1889,Copa Airlines,,CM,CMP,COPA,Panama,Y,19,0,19
1531,Brussels Airlines,SN Brussels Airlines,SN,DAT,BEE-LINE,Belgium,Y,22,0,22
524,Air Vanuatu,,NF,AVN,AIR VAN,Vanuatu,Y,23,0,23
1287,Aircompany Yakutia,,R3,SYL,AIR YAKUTIA,Russia,Y,25,0,25
96,Aegean Airlines,,A3,AEE,AEGEAN,Greece,Y,25,0,25
2056,Dragonair,,KA,HDA, Hong Kong Dragon Airlines,DRAGON,Y,26,0,26
1925,Croatia Airlines,,OU,CTN,CROATIA,Croatia,Y,26,0,26
241,Air Sahara,,S2,RSH,SAHARA,India,Y,26,0,26
1680,Cathay Pacific,,CX,CPA,CATHAY,Hong Kong,Y,33,0,33
2183,Emirates,Emirates Airlines,EK,UAE,EMIRATES,United Arab Emirates,Y,36,0,36
1434,Bearskin Lake Air Service,,JV,BLS,BEARSKIN,Canada,Y,39,0,39
345,Air New Zealand,,NZ,ANZ,NEW ZEALAND,New Zealand,Y,41,0,41
333,Air Baltic,,BT,BTI,AIRBALTIC,Latvia,Y,44,0,44
2350,Finnair,,AY,FIN,FINNAIR,Finland,Y,45,0,45
794,Air Algerie,,AH,DAH,AIR ALGERIE,Algeria,Y,45,0,45
2222,Etihad Airways,,EY,ETD,ETIHAD,United Arab Emirates,Y,48,0,48
321,AeroMéxico,,AM,AMX,AEROMEXICO,Mexico,Y,52,0,52
439,Alaska Airlines,,AS,ASA, Inc.,ALASKA,Y,53,0,53
130,Aeroflot Russian Airlines,,SU,AFL,AEROFLOT,Russia,Y,53,0,53
515,Avianca - Aerovias Nacionales de Colombia,,AV,AVA, S.A.,AVIANCA,Y,59,0,59
491,Austrian Airlines,,OS,AUA,AUSTRIAN,Austria,Y,61,0,61
1316,AirTran Airways,,FL,TRS,CITRUS,United States,Y,70,0,70
324,All Nippon Airways,ANA All Nippon Airways,NH,ANA,ALL NIPPON,Japan,Y,77,0,77
1868,Condor Flugdienst,,DE,CFG,CONDOR,Germany,Y,97,0,97
330,Air Canada,,AC,ACA,AIR CANADA,Canada,Y,113,0,113
1355,British Airways,,BA,BAW,SPEEDBIRD,United Kingdom,Y,134,0,134
214,Air Berlin,,AB,BER,AIR BERLIN,Germany,Y,141,0,141
596,Alitalia,,AZ,AZA,ALITALIA,Italy,Y,149,0,149
1758,China Eastern Airlines,,MU,CES,CHINA EASTERN,China,Y,154,0,154
137,Air France,,AF,AFR,AIRFRANS,France,Y,167,0,167
24,American Airlines,,AA,AAL,AMERICAN,United States,Y,304,0,304
2009,Delta Air Lines,,DL,DAL,DELTA,United States,Y,374,0,374
13388,Court Line,,??,???,,United Kingdom,N,3093,0,3093
19811,British Air Ferries,,??,??!,,United Kingdom,N,3093,0,3093
